id,dt,amount,product,category,db
a08e699d-d0ad-11ec-b64a-08c5e1cbfad9,2018-03-02,50.0,Pizza Ok,Stuff,expenses
a08f93fc-d0ad-11ec-8156-08c5e1cbfad9,2018-03-03,17.0,Tigari,Stuff,expenses
a090fd58-d0ad-11ec-871e-08c5e1cbfad9,2018-03-03,19.0,Cola bere cafea,Stuff,expenses
a091ed9c-d0ad-11ec-b9a3-08c5e1cbfad9,2018-03-04,17.0,Tigari,Stuff,expenses
a093a24e-d0ad-11ec-9d44-08c5e1cbfad9,2018-03-05,30.0,Cartela Vodafone Alin,Stuff,expenses
a094fd86-d0ad-11ec-9196-08c5e1cbfad9,2018-03-05,33.0,Tigari,Stuff,expenses
a09690fb-d0ad-11ec-8936-08c5e1cbfad9,2018-03-06,17.0,Tigari,Stuff,expenses
a09806da-d0ad-11ec-ad4c-08c5e1cbfad9,2018-03-08,17.0,Tigari,Stuff,expenses
a099983b-d0ad-11ec-a155-08c5e1cbfad9,2018-03-09,50.0,Motorina,Stuff,expenses
a09abb4a-d0ad-11ec-b132-08c5e1cbfad9,2018-03-09,17.0,Tigari,Stuff,expenses
a09c08b2-d0ad-11ec-964d-08c5e1cbfad9,2018-03-10,150.0,Mircea,Stuff,expenses
